content_id, title                 , platform    , content_type    , genre      , language  , country       , age_rating, release_year, release_month, seasons, episodes, runtime_min, imdb_score, rotten_tomatoes_pct, audience_score_pct, monthly_views_millions, avg_watch_time_min, completion_rate_pct, rewatches, subscribers_gained, subscribers_lost, revenue_usd_millions, production_cost_usd_millions, primary_device, subscription_plan, resolution, user_reviews, likes  , shares, available_in_countries, subtitles_available, dubbed_languages, is_original, is_award_winning, is_trending
        11, Nexus                 , HBO Max     , Mini-Series     , Crime      , Hindi     , Mexico        , TV-14     ,         2018,            11,       1,        8,          57,        5.5,                  82,                 62,                  86.02,               50.5,                27.2,         3,             434817,            36265,                 2.25,                        67.04, Mobile        , Premium          , Full HD   ,        84765, 1554573, 231659,                    146,                  28,                0, Yes        , Yes             , Yes
        12, Freefall 4            , Disney+     , Documentary     , Action     , English   , Japan         , TV-14     ,         2015,             6,       1,        4,          58,        5.9,                  91,                 82,                  92.52,               47.2,                92.2,         1,             453302,            21299,                48.81,                       162.25, Laptop        , Basic            , HD        ,       386221, 1938890, 174170,                    110,                  16,                8, Yes        , Yes             , No
        13, The Forgotten         , Hulu        , Series          , Documentary, Japanese  , Japan         , R         ,         2018,             1,       4,       72,          43,        5.5,                  28,                 65,                  33.42,               29.3,                73.0,         4,             173617,             3617,                 5.81,                       194.09, Mobile        , Premium          , Full HD   ,        20107,  227436, 312785,                    116,                  23,               10, No         , Yes             , No
        14, Firestorm 2           , Peacock     , Movie           , Animation  , Portuguese, Australia     , R         ,         2020,             7,        ,         ,          83,        9.2,                  62,                 70,                  63.06,               23.5,                90.2,         4,             162154,            87410,                20.45,                        80.78, Tablet        , Premium          , HD        ,       100629,  881839, 348624,                    102,                  12,                9, No         , Yes             , No
        15, The Heist             , Apple TV+   , Documentary     , Documentary, Italian   , Australia     , R         ,         2023,             8,       1,        2,          81,        6.8,                  99,                 72,                   8.96,               77.8,                38.3,         2,             117776,            26100,                 7.41,                         9.72, Laptop        , Premium          , SD        ,       238819,  869245, 464600,                    166,                  37,                6, No         , No              , No
        16, The Verdict 2         , Amazon Prime, Documentary     , Thriller   , French    , Mexico        , TV-G      ,         2015,             9,       1,        2,         103,        4.7,                  79,                 97,                  93.85,               67.4,                94.1,         3,             321206,            94276,                44.61,                        85.63, Desktop       , Standard         , HD        ,       389939, 1806785, 248876,                    120,                  17,                7, No         , No              , Yes
        17, Darkroom              , HBO Max     , Series          , Horror     , Japanese  , France        , PG        ,         2017,             3,       4,       72,          31,        7.9,                  28,                 83,                  38.78,               23.7,                52.4,         1,             436674,            55069,                19.5 ,                       154.07, Gaming Console, Basic            , 4K        ,       250124,   12464, 494278,                     95,                  20,               12, No         , Yes             , No
        18, The Covenant          , Paramount+  , Movie           , Sci-Fi     , Japanese  , Australia     , TV-PG     ,         2017,             8,        ,         ,          91,        9.4,                  88,                 33,                  86.17,               60.0,                71.7,         0,             336985,            56179,                 6.83,                        92.61, Smart TV      , Standard         , 4K        ,       171677,  443983, 238403,                     88,                  22,               12, No         , No              , No
        19, Spectrum 2            , Netflix     , Mini-Series     , Thriller   , Spanish   , Australia     , G         ,         2015,             4,       1,        4,          56,        4.1,                  39,                 60,                  12.08,               42.4,                64.0,         1,             243811,            91680,                12.85,                        74.09, Desktop       , Premium          , SD        ,       407836, 1718299,  85870,                     84,                   7,                0, No         , No              , No
        20, Reboot 3              , Amazon Prime, Mini-Series     , Fantasy    , Mandarin  , United Kingdom, G         ,         2020,             9,       1,        6,          51,        6.0,                  84,                 73,                   1.3 ,               30.1,                58.2,         3,             189890,            83307,                44.58,                        92.22, Mobile        , Standard         , HD        ,       384770, 1094282, 341037,                     74,                  40,               15, No         , No              , No
        21, Borderline            , Amazon Prime, Mini-Series     , Documentary, Hindi     , Spain         , TV-PG     ,         2020,             1,       1,        6,          57,        5.8,                  82,                 57,                  33.77,               25.9,                41.8,         4,             367622,            36211,                27.81,                       103.57, Mobile        , Basic            , HD        ,       377576,  852441, 256165,                    147,                  16,               15, No         , No              , Yes
        22, The Outsider          , Peacock     , Series          , Horror     , Mandarin  , France        , TV-G      ,         2023,             9,       6,      114,          57,        5.8,                  78,                 64,                  29.2 ,               24.7,                76.3,         2,              62681,            97370,                26.82,                       152.56, Mobile        , Basic            , HD        ,       387291, 1015538, 144975,                    190,                  38,                9, Yes        , Yes             , No
        23, Phantom Signal        , HBO Max     , Movie           , Biography  , Portuguese, India         , TV-MA     ,         2015,             1,        ,         ,         145,        5.6,                  36,                 92,                   9.84,               16.6,                42.2,         3,             230932,            44657,                 9.26,                        10.75, Laptop        , Basic            , SD        ,       210136, 1031367,  38850,                    152,                   4,                4, Yes        , No              , Yes
        24, The Verdict 5         , Hulu        , Stand-Up Special, Sci-Fi     , Italian   , Spain         , TV-MA     ,         2024,             7,        ,         ,         114,        7.1,                  27,                 42,                  90.03,               35.6,                36.5,         5,              42565,            20585,                12.03,                       110.62, Mobile        , Basic            , 4K        ,       236243, 1445816, 311338,                    125,                  19,                1, Yes        , No              , No
        25, Overload              , Amazon Prime, Series          , Horror     , Mandarin  , Australia     , R         ,         2021,             2,       4,       40,          39,        8.5,                  29,                 37,                  15.85,               22.4,                78.4,         4,             482970,            37828,                21.99,                        94.01, Tablet        , Premium          , 4K        ,       494283,  571041, 262401,                    143,                  32,               14, Yes        , Yes             , No
        26, Threshold             , HBO Max     , Movie           , Comedy     , Hindi     , Australia     , G         ,         2019,            10,        ,         ,          80,        8.2,                  42,                 90,                  49.35,               43.7,                41.7,         4,             228529,            83202,                40.72,                       193.83, Laptop        , Standard         , 4K        ,       174799,  673407, 351352,                     31,                  11,               10, No         , No              , No
        27, Flashback             , Netflix     , Documentary     , Comedy     , Japanese  , Japan         , TV-14     ,         2016,             7,       1,        9,         104,        6.3,                  44,                 96,                  34.43,               82.3,                68.8,         0,             106723,            35003,                27.48,                       185.57, Laptop        , Premium          , 4K        ,        63712,   60643, 330323,                    160,                  16,                5, No         , Yes             , No
        28, The Outsider          , Amazon Prime, Documentary     , Comedy     , French    , Spain         , TV-MA     ,         2023,            12,        ,         ,          98,        8.6,                  80,                 61,                  43.45,               27.0,                34.9,         4,             266464,            97818,                43.97,                       172.87, Tablet        , Standard         , Full HD   ,       489865, 1652063, 266210,                     73,                   1,                9, No         , No              , Yes
        29, Rising Sun            , Apple TV+   , Mini-Series     , Animation  , Portuguese, Germany       , TV-G      ,         2020,             4,       1,        8,          37,        7.1,                  49,                 82,                   4.24,               31.4,                75.0,         3,             202416,            86991,                39.63,                       130.58, Mobile        , Standard         , SD        ,        66239, 1053480, 309434,                     89,                   7,               14, Yes        , No              , Yes
        30, Override 3            , Amazon Prime, Documentary     , Horror     , Japanese  , Canada        , TV-PG     ,         2016,             6,        ,         ,          85,        7.4,                  82,                 99,                   3.51,               19.8,                69.2,         2,             119268,            97880,                 4.56,                       195.68, Gaming Console, Premium          , SD        ,       232665,  348992, 363866,                     81,                   2,                1, No         , Yes             , No
        31, Deadlock              , Disney+     , Series          , Animation  , German    , Canada        , PG-13     ,         2017,             3,       2,       36,          37,        6.7,                  94,                 48,                  22.13,               29.0,                55.8,         5,               4926,            60981,                45.07,                       135.68, Mobile        , Basic            , 4K        ,       495625,  724803, 308066,                     81,                  28,                8, No         , No              , Yes
        32, Flashpoint            , Amazon Prime, Series          , Sci-Fi     , Mandarin  , France        , TV-MA     ,         2019,             1,       7,       98,          22,        7.1,                  26,                 93,                  79.14,               21.3,                80.5,         1,             318276,            46179,                10.99,                        38.43, Tablet        , Premium          , HD        ,       329432,  203867, 473653,                    165,                   3,                9, No         , Yes             , No
        33, Catalyst 4            , Apple TV+   , Documentary     , Action     , Hindi     , India         , TV-14     ,         2023,             9,        ,         ,          66,        5.4,                  81,                 67,                  70.95,               32.3,                29.0,         0,              73797,            98848,                48.33,                       172.1 , Gaming Console, Premium          , 4K        ,       443463, 1687442, 292202,                     98,                   6,               12, Yes        , No              , Yes
        34, Darkroom Files        , HBO Max     , Stand-Up Special, Sci-Fi     , Japanese  , United Kingdom, R         ,         2022,             1,        ,         ,         154,        8.9,                  91,                 71,                  86.96,               45.8,                24.9,         3,             476781,            91891,                15.14,                        81.96, Mobile        , Basic            , SD        ,       159624, 1033208,  60890,                     29,                  16,                4, No         , No              , No
        35, Burnout               , Peacock     , Stand-Up Special, Biography  , French    , Germany       , PG        ,         2022,            10,        ,         ,         127,        9.2,                  55,                 34,                  65.61,               39.3,                54.7,         1,             448502,            47537,                 5.01,                       137.29, Desktop       , Premium          , Full HD   ,        31795,  835059, 144651,                     53,                   8,               14, Yes        , Yes             , Yes
        36, Blue Horizon          , Hulu        , Series          , Crime      , Hindi     , United Kingdom, R         ,         2024,             4,       4,       64,          31,        8.3,                  96,                 30,                  26.41,               30.7,                97.0,         4,             131414,            22871,                 5.54,                       173.36, Mobile        , Basic            , Full HD   ,       414229, 1653560, 124754,                    155,                  21,                0, Yes        , No              , Yes
        37, Cold Case Files       , Amazon Prime, Movie           , Documentary, Italian   , France        , PG        ,         2022,             9,        ,         ,         103,        9.2,                  25,                 96,                  28.72,               71.6,                22.4,         3,             444228,            52640,                21.34,                        22.04, Gaming Console, Standard         , SD        ,       471524,  169529, 168889,                    160,                  10,                2, Yes        , No              , No
        38, The Renegade          , HBO Max     , Documentary     , Animation  , Mandarin  , Germany       , PG        ,         2016,            11,       1,        7,         102,        8.9,                  72,                 73,                  78.62,               49.7,                76.9,         2,             223747,            40963,                33.27,                        75.17, Mobile        , Premium          , 4K        ,        35247,  191412, 436098,                     26,                   6,               13, Yes        , No              , Yes
        39, Stormfront 4          , Amazon Prime, Documentary     , Romance    , German    , Mexico        , G         ,         2019,            10,        ,         ,          90,        4.6,                  84,                 57,                  14.78,               51.2,                86.1,         2,             443219,            72910,                18.41,                       152.64, Desktop       , Basic            , 4K        ,       443154, 1176530, 402365,                    164,                  40,                0, No         , Yes             , Yes
        40, The Confession        , HBO Max     , Mini-Series     , Romance    , English   , India         , PG-13     ,         2024,            11,       1,        6,          32,        4.8,                  23,                 41,                  70.91,               18.7,                52.7,         2,              82527,            48503,                15.62,                        65.21, Desktop       , Premium          , SD        ,       463175,  110428,  81578,                     45,                  40,                1, Yes        , No              , No
        41, Flashback             , Paramount+  , Documentary     , Horror     , Hindi     , Brazil        , PG        ,         2020,             7,       1,        5,         120,        6.7,                  59,                 35,                  21.03,              118.4,                24.3,         1,             158030,            27686,                38.38,                       152.95, Tablet        , Standard         , SD        ,         4102, 1043192, 391660,                    115,                  12,                4, No         , Yes             , No
        42, Lost Signal           , Netflix     , Documentary     , Drama      , Italian   , United Kingdom, TV-14     ,         2024,             7,        ,         ,          98,        5.6,                  71,                 32,                  91.79,               29.3,                93.9,         3,             436221,            90388,                45.99,                        18.08, Smart TV      , Basic            , 4K        ,       308788,  839904, 274717,                     25,                  26,                9, No         , Yes             , No
        43, Vertex 2              , Hulu        , Mini-Series     , Romance    , French    , South Korea   , PG        ,         2017,             5,       1,        4,          35,        7.3,                  29,                 52,                  90.38,               27.6,                56.2,         4,             398394,            75952,                22.47,                       184.87, Desktop       , Premium          , Full HD   ,       453164, 1315470, 165757,                     43,                  29,                2, No         , No              , No
        44, Orbit                 , Netflix     , Mini-Series     , Animation  , Spanish   , Japan         , TV-G      ,         2022,             1,       1,        3,          41,        8.6,                  29,                 41,                  58.46,               28.2,                56.1,         4,             415140,            96851,                44.8 ,                        90.22, Desktop       , Premium          , HD        ,       168622, 1268889, 249376,                    133,                  10,                1, No         , Yes             , No
        45, Reboot 3              , Netflix     , Series          , Biography  , Italian   , Spain         , PG-13     ,         2020,             6,       5,       90,          48,        8.3,                  96,                 36,                  75.0 ,               36.4,                25.1,         0,             292533,            88916,                19.36,                        50.77, Gaming Console, Premium          , HD        ,       174827,  171022, 305533,                    174,                  10,               11, No         , No              , Yes
        46, Blowback              , Amazon Prime, Mini-Series     , Animation  , German    , Australia     , TV-14     ,         2017,            11,       1,        8,          56,        9.2,                  87,                 41,                  61.41,               32.4,                48.2,         2,             161934,            23627,                47.56,                        68.68, Laptop        , Basic            , HD        ,        72173,  325043,  40466,                     80,                   7,                1, No         , Yes             , No
        47, Iron Will 3           , Paramount+  , Movie           , Sci-Fi     , Japanese  , Australia     , R         ,         2022,            10,        ,         ,         111,        8.1,                  77,                 59,                  50.78,               44.7,                83.1,         3,             473942,            25430,                18.42,                       189.45, Laptop        , Standard         , Full HD   ,       408011,  800944, 263677,                    140,                  27,                5, Yes        , Yes             , No
        48, Blue Horizon          , Apple TV+   , Stand-Up Special, Comedy     , Portuguese, United Kingdom, TV-MA     ,         2016,             3,        ,         ,         109,        6.5,                  85,                 48,                  78.97,               23.6,                91.0,         3,             463800,            45820,                46.53,                        83.27, Laptop        , Premium          , Full HD   ,       123665,  809949,  42794,                    100,                  15,                0, No         , Yes             , No
        49, Orbit 2               , HBO Max     , Documentary     , Biography  , French    , Mexico        , TV-G      ,         2022,            10,       1,        2,          47,        5.4,                  39,                 97,                  40.27,               39.8,                38.5,         0,              25034,            31252,                21.02,                       158.88, Laptop        , Basic            , SD        ,       438715, 1898330, 262064,                    157,                  35,                0, Yes        , Yes             , No
        50, Iron Fist 4           , Hulu        , Stand-Up Special, Sci-Fi     , French    , Australia     , PG        ,         2023,             6,        ,         ,          83,        9.2,                  89,                 94,                  74.73,               49.5,                21.6,         3,              22824,            83318,                19.37,                        74.97, Gaming Console, Basic            , Full HD   ,       413461,  141782, 180785,                     66,                   7,               10, Yes        , Yes             , No
        51, Freefall              , Disney+     , Documentary     , Biography  , Italian   , Australia     , PG-13     ,         2017,             2,        ,         ,          49,        5.6,                  25,                 55,                  84.16,               25.7,                44.2,         3,             427507,            71176,                23.7 ,                         7.81, Gaming Console, Basic            , Full HD   ,       187207, 1808135, 409395,                     17,                  22,                8, Yes        , No              , No
        52, The Wanderer          , Peacock     , Mini-Series     , Action     , Italian   , Mexico        , TV-G      ,         2020,             9,       1,        5,          55,        4.5,                  74,                 40,                  40.96,               54.8,                34.1,         2,             168407,            13447,                 4.05,                       132.35, Tablet        , Standard         , 4K        ,        87419, 1446641, 232745,                     94,                  29,                1, No         , No              , No
        53, Backlash              , Netflix     , Movie           , Fantasy    , German    , France        , PG-13     ,         2015,             3,        ,         ,         152,        7.7,                  76,                 34,                  12.08,               47.3,                70.3,         2,             200725,            74349,                 1.67,                        31.11, Laptop        , Standard         , Full HD   ,       232802, 1600404,  40320,                    151,                   9,               11, No         , No              , No
        54, The Verdict           , Netflix     , Series          , Documentary, Portuguese, Germany       , PG        ,         2019,             5,       8,       96,          40,        7.8,                  82,                 55,                  11.74,               36.3,                55.3,         5,             233366,            11506,                40.54,                       193.53, Tablet        , Premium          , Full HD   ,       372053,  136287, 288366,                    143,                  19,                9, Yes        , Yes             , No
        55, The Pursuit of Truth  , Hulu        , Series          , Thriller   , Italian   , United States , TV-14     ,         2023,            10,       6,      120,          57,        4.7,                  31,                 38,                  29.45,               57.0,                76.1,         4,             215374,            53665,                41.18,                        15.21, Tablet        , Premium          , SD        ,       235966,  977023, 356582,                    137,                  23,                4, Yes        , Yes             , No
        56, Deadlock City         , Netflix     , Movie           , Animation  , French    , Japan         , PG-13     ,         2017,             6,        ,         ,         165,        5.2,                  86,                 66,                  80.38,               52.6,                69.5,         4,             143891,            16406,                31.27,                       123.08, Smart TV      , Premium          , HD        ,       310328, 1974792, 304435,                     44,                  11,               10, Yes        , Yes             , Yes
        57, Crimson Tide          , HBO Max     , Series          , Crime      , German    , Canada        , G         ,         2022,            11,       5,       75,          52,        5.3,                  71,                 68,                  43.14,               40.5,                32.3,         3,             253887,            60875,                10.24,                       121.53, Tablet        , Premium          , Full HD   ,       384982, 1805280, 181083,                    107,                   9,               11, Yes        , No              , Yes
        58, The Heist Plan 5      , Hulu        , Series          , Comedy     , English   , Japan         , TV-PG     ,         2024,             7,       4,       44,          42,        9.1,                  60,                 54,                  72.52,               28.5,                60.1,         3,             460888,            40441,                24.89,                        18.46, Laptop        , Premium          , 4K        ,       126261,  451290, 305850,                     95,                   4,                1, No         , No              , No
        59, The Heist             , Amazon Prime, Documentary     , Action     , Korean    , Mexico        , TV-14     ,         2021,             6,       1,        7,          51,        7.1,                  44,                 76,                  52.6 ,               17.6,                59.3,         4,             146654,            81689,                34.04,                        24.2 , Smart TV      , Standard         , Full HD   ,       416805,  711213, 292474,                     98,                  10,                6, No         , Yes             , Yes
        60, The Forgotten 4       , Paramount+  , Stand-Up Special, Documentary, French    , Canada        , PG-13     ,         2020,            10,        ,         ,         115,        4.9,                  98,                 68,                  56.44,               65.7,                59.8,         3,             371583,            73783,                15.02,                       163.24, Tablet        , Standard         , SD        ,       218437, 1224212, 161321,                    190,                   2,               15, No         , Yes             , Yes
        61, Deadfall              , Peacock     , Series          , Fantasy    , Hindi     , United States , PG        ,         2018,             1,       8,      128,          48,        4.8,                  46,                 82,                  47.72,               35.2,                56.8,         5,             381368,             8163,                35.3 ,                       103.98, Desktop       , Standard         , 4K        ,       275551,  790358, 164506,                     49,                  30,               10, No         , No              , No
        62, Burning Bridges       , HBO Max     , Stand-Up Special, Horror     , Hindi     , Japan         , TV-MA     ,         2018,            12,        ,         ,         165,        6.7,                  81,                 74,                  53.29,              155.2,                76.3,         2,              63897,            75166,                33.85,                        76.25, Laptop        , Standard         , HD        ,       152330,   88319, 150811,                    187,                   6,               11, No         , No              , No
        63, Wildfire              , HBO Max     , Stand-Up Special, Biography  , Korean    , India         , PG        ,         2024,            12,        ,         ,         150,        5.3,                  26,                 97,                  21.52,               46.4,                27.8,         2,             376102,            61918,                 5.07,                       154.27, Smart TV      , Premium          , HD        ,       213386, 1369315, 490236,                    126,                  31,                6, No         , No              , No
        64, Breakdown 2           , Hulu        , Stand-Up Special, Biography  , English   , India         , TV-PG     ,         2017,             1,        ,         ,         125,        8.3,                  43,                 67,                  83.3 ,               16.0,                64.3,         0,             486777,            43914,                14.26,                       197.83, Desktop       , Premium          , 4K        ,       466278, 1968404,  70369,                    134,                  30,                8, Yes        , Yes             , No
        65, The Divide            , HBO Max     , Series          , Drama      , Japanese  , Japan         , R         ,         2017,            10,       7,      133,          54,        5.8,                  71,                 42,                  17.64,               20.5,                45.2,         1,               3580,            34181,                19.21,                        89.62, Tablet        , Standard         , Full HD   ,       305427, 1516094, 300362,                      7,                  17,               11, Yes        , Yes             , Yes
        66, The Heist Plan        , Peacock     , Stand-Up Special, Biography  , Korean    , Mexico        , PG        ,         2019,             6,        ,         ,         153,        5.2,                  37,                 91,                  14.64,              118.2,                67.2,         3,             368019,            71989,                45.64,                       151.59, Gaming Console, Basic            , HD        ,       356745, 1582903, 312388,                     25,                  34,               14, No         , Yes             , Yes
        67, Shadow Protocol       , Hulu        , Stand-Up Special, Animation  , French    , India         , TV-14     ,         2023,             8,        ,         ,          89,        7.7,                  94,                 92,                   8.73,               52.8,                83.1,         3,              69176,            67272,                20.8 ,                       113.0 , Desktop       , Standard         , Full HD   ,       379257,   45755, 207601,                     70,                   1,                6, Yes        , Yes             , No
        68, The Informant         , Netflix     , Movie           , Documentary, English   , Japan         , TV-PG     ,         2017,             3,        ,         ,         173,        7.5,                  73,                 77,                  94.32,               75.4,                87.8,         3,             196946,            10518,                34.15,                       132.53, Desktop       , Basic            , Full HD   ,        62247,  374386, 281688,                    105,                  34,                4, Yes        , Yes             , Yes
        69, The Witness           , Peacock     , Stand-Up Special, Sci-Fi     , Hindi     , South Korea   , TV-G      ,         2020,             3,        ,         ,         110,        5.0,                  34,                 34,                  76.92,               54.8,                79.8,         0,             126178,            27011,                 3.41,                       118.99, Laptop        , Premium          , SD        ,       128361, 1553127,  23202,                    107,                  29,                7, Yes        , Yes             , Yes
        70, Deadlock City         , Hulu        , Stand-Up Special, Romance    , Mandarin  , Canada        , TV-14     ,         2018,             5,        ,         ,          93,        9.4,                  86,                 58,                  39.35,               36.5,                63.4,         4,             461223,            96365,                45.58,                       125.39, Laptop        , Premium          , 4K        ,        24630,  722390, 493672,                    169,                  25,               10, No         , No              , Yes
        71, The Witness           , Paramount+  , Series          , Thriller   , Korean    , Mexico        , PG-13     ,         2022,             1,       7,      133,          57,        6.9,                  69,                 61,                  24.3 ,               28.9,                26.2,         3,             444141,            48637,                 4.67,                       145.05, Mobile        , Basic            , Full HD   ,       197794, 1412892, 317188,                    159,                   3,                2, Yes        , Yes             , No
        72, Fractured             , Apple TV+   , Mini-Series     , Drama      , Hindi     , South Korea   , PG        ,         2022,             4,       1,        8,          49,        7.9,                  70,                 60,                  52.49,               41.4,                49.7,         4,             340116,            47088,                15.46,                        72.25, Laptop        , Standard         , SD        ,       420957, 1515111, 246158,                     86,                  14,               11, No         , No              , Yes
        73, Endgame               , Disney+     , Movie           , Horror     , Portuguese, Canada        , TV-PG     ,         2019,             3,        ,         ,         100,        5.8,                  68,                 61,                  47.48,               70.6,                73.4,         2,             400220,            64044,                48.33,                       128.52, Laptop        , Standard         , HD        ,       384233, 1667284, 184651,                     48,                   9,               15, Yes        , Yes             , Yes
        74, Horizon               , Netflix     , Movie           , Sci-Fi     , French    , Australia     , R         ,         2016,            12,        ,         ,          94,        4.1,                  84,                 88,                  35.52,               63.8,                72.0,         4,             478544,            63334,                32.98,                         3.64, Desktop       , Premium          , 4K        ,         6263,   35177, 277577,                    189,                  18,                9, Yes        , No              , Yes
        75, Silent Storm          , Disney+     , Series          , Thriller   , Mandarin  , Brazil        , TV-MA     ,         2020,             5,       7,       56,          45,        9.3,                  78,                 61,                  94.07,               21.8,                73.4,         0,             342745,            85182,                37.99,                        19.15, Laptop        , Standard         , 4K        ,        29470, 1335457,   4964,                    184,                  11,                2, No         , No              , No
        76, Endgame               , Amazon Prime, Stand-Up Special, Drama      , Hindi     , South Korea   , TV-G      ,         2019,             1,        ,         ,          84,        7.8,                  55,                 99,                  53.58,               17.3,                92.4,         2,               8209,            27152,                29.37,                       150.57, Gaming Console, Standard         , SD        ,       156957,  340782, 295686,                     66,                  37,               12, No         , No              , Yes
        77, Orbit                 , Amazon Prime, Stand-Up Special, Biography  , Japanese  , United States , PG        ,         2021,             4,        ,         ,          84,        5.9,                  98,                 80,                  92.05,               37.5,                69.5,         3,             257217,            29902,                17.82,                       188.26, Laptop        , Basic            , 4K        ,        44978, 1619452, 324342,                     80,                  16,                2, Yes        , No              , Yes
        78, The Renegade          , Disney+     , Documentary     , Romance    , Japanese  , United Kingdom, PG        ,         2015,             5,        ,         ,          91,        8.2,                  33,                 46,                   8.38,               47.8,                63.4,         4,             213932,            13538,                 1.36,                        71.11, Smart TV      , Premium          , Full HD   ,       452887,  808002,   6480,                     79,                  27,               12, Yes        , Yes             , Yes
